week_id,date,sku_id,region,demand_units
1,2024-06-03,SKU_001,East,89
1,2024-06-03,SKU_002,East,85
1,2024-06-03,SKU_003,East,214
1,2024-06-03,SKU_004,East,25
1,2024-06-03,SKU_005,East,112
1,2024-06-03,SKU_006,East,183
1,2024-06-03,SKU_007,East,85
1,2024-06-03,SKU_008,East,135
1,2024-06-03,SKU_009,East,41
1,2024-06-03,SKU_010,East,190
1,2024-06-03,SKU_011,East,84
1,2024-06-03,SKU_012,East,50
1,2024-06-03,SKU_013,East,69
1,2024-06-03,SKU_014,East,75
1,2024-06-03,SKU_015,East,77
1,2024-06-03,SKU_016,East,135
1,2024-06-03,SKU_017,East,108
1,2024-06-03,SKU_018,East,133
1,2024-06-03,SKU_019,East,110
1,2024-06-03,SKU_020,East,143
1,2024-06-03,SKU_021,East,31
1,2024-06-03,SKU_022,East,48
1,2024-06-03,SKU_023,East,54
1,2024-06-03,SKU_024,East,117
1,2024-06-03,SKU_025,East,52
1,2024-06-03,SKU_026,East,62
1,2024-06-03,SKU_027,East,61
1,2024-06-03,SKU_028,East,42
1,2024-06-03,SKU_029,East,88
1,2024-06-03,SKU_030,East,241
1,2024-06-03,SKU_031,East,58
1,2024-06-03,SKU_032,East,103
1,2024-06-03,SKU_033,East,38
1,2024-06-03,SKU_034,East,32
1,2024-06-03,SKU_035,East,80
1,2024-06-03,SKU_036,East,78
1,2024-06-03,SKU_037,East,28
1,2024-06-03,SKU_038,East,49
1,2024-06-03,SKU_039,East,22
1,2024-06-03,SKU_040,East,71
1,2024-06-03,SKU_041,East,63
1,2024-06-03,SKU_042,East,57
1,2024-06-03,SKU_043,East,70
1,2024-06-03,SKU_044,East,112
1,2024-06-03,SKU_045,East,55
1,2024-06-03,SKU_046,East,39
1,2024-06-03,SKU_047,East,150
1,2024-06-03,SKU_048,East,122
1,2024-06-03,SKU_049,East,93
1,2024-06-03,SKU_050,East,53
1,2024-06-03,SKU_051,East,117
1,2024-06-03,SKU_052,East,112
1,2024-06-03,SKU_053,East,37
1,2024-06-03,SKU_054,East,55
1,2024-06-03,SKU_055,East,50
1,2024-06-03,SKU_056,East,105
1,2024-06-03,SKU_057,East,99
1,2024-06-03,SKU_058,East,88
1,2024-06-03,SKU_059,East,179
1,2024-06-03,SKU_060,East,64
1,2024-06-03,SKU_061,East,138
1,2024-06-03,SKU_062,East,25
1,2024-06-03,SKU_063,East,53
1,2024-06-03,SKU_064,East,134
1,2024-06-03,SKU_065,East,102
1,2024-06-03,SKU_066,East,37
1,2024-06-03,SKU_067,East,44
1,2024-06-03,SKU_068,East,117
1,2024-06-03,SKU_069,East,12
1,2024-06-03,SKU_070,East,147
1,2024-06-03,SKU_071,East,62
1,2024-06-03,SKU_072,East,56
1,2024-06-03,SKU_073,East,109
1,2024-06-03,SKU_074,East,134
1,2024-06-03,SKU_075,East,58
1,2024-06-03,SKU_076,East,187
1,2024-06-03,SKU_077,East,43
1,2024-06-03,SKU_078,East,26
1,2024-06-03,SKU_079,East,72
1,2024-06-03,SKU_080,East,101
1,2024-06-03,SKU_081,East,44
1,2024-06-03,SKU_082,East,177
1,2024-06-03,SKU_083,East,52
1,2024-06-03,SKU_084,East,208
1,2024-06-03,SKU_085,East,35
1,2024-06-03,SKU_086,East,41
1,2024-06-03,SKU_087,East,59
1,2024-06-03,SKU_088,East,76
1,2024-06-03,SKU_089,East,59
1,2024-06-03,SKU_090,East,15
1,2024-06-03,SKU_091,East,125
1,2024-06-03,SKU_092,East,153
1,2024-06-03,SKU_093,East,105
1,2024-06-03,SKU_094,East,65
1,2024-06-03,SKU_095,East,31
1,2024-06-03,SKU_096,East,26
1,2024-06-03,SKU_097,East,172
1,2024-06-03,SKU_098,East,78
